LSOA21CD,MSOA21CD,log_voa_rv_2023,rv_per_working_age,sme_density,qualification_index,firm_size_diversity,rv_per_employee,sme_qual_interaction,employment_quality,modern_sector_leverage,asset_growth_diversity,log_total_GVA_2023,is_swindon,lsoa_total_employed,lsoa_home_or_no_fixed_count,lsoa_home_or_no_fixed_share,lsoa_workplace_commuters,lsoa_same_lsoa_worker_count,lsoa_same_lsoa_work_share,lsoa_out_commute_share,lsoa_workers_at_workplace,lsoa_inbound_worker_count,lsoa_local_worker_share,lsoa_in_commute_share,lsoa_outbound_from_swindon_count,lsoa_outbound_from_swindon_share,lsoa_inbound_to_swindon_count,lsoa_inbound_to_swindon_share
E01015471,E02006849,11.833714368540948,90.67135618421052,127.41652021089632,19.683655536028123,0.8961111111111111,2579.526687523068,2508.0228934306488,0.0210896309999999,9.02167545401289,8.157646108300952,2.7765807435093186,Swindon,1194,605,0.5067001675041876,584,0,0.0,1.0,14,14,0.0,1.0,192,0.3287671232876712,4,0.2857142857142857
E01015473,E02003219,16.268274056597637,8704.430254681649,408.8194763435921,13.321084060633895,0.9216639313218028,1848.735672170184,5445.91860999732,1.3242133670188334,5.398086351367983,2.7482907034227164,6.207099982931871,Swindon,987,526,0.5329280648429585,456,67,0.1469298245614035,0.8530701754385965,6086,6019,0.0110088728228721,0.9889911271771278,139,0.3048245614035088,1037,0.1703910614525139
E01015475,E02003226,14.70764454868331,1371.742970207982,170.40898155573376,-0.1202886892381709,0.9058956916099772,1954.9269097777108,-20.498273025750866,0.1169473402833466,-0.0349225226820496,11.903836124932717,4.612086215029821,Swindon,1327,186,0.1401657874905802,1137,8,0.0070360598065083,0.9929639401934915,259,251,0.0308880308880308,0.9691119691119692,233,0.2049252418645558,39,0.1505791505791505
E01015477,E02003226,13.53689131440145,587.1427583397983,234.9364289662797,3.593145384190162,0.9058956916099772,4248.534256952898,844.1607453183079,0.1381978993919292,1.0431712405713374,14.288139966478166,3.035241406648704,Swindon,876,328,0.3744292237442922,546,10,0.0183150183150183,0.9816849816849816,302,292,0.0331125827814569,0.9668874172185432,127,0.2326007326007326,53,0.1754966887417218
E01015478,E02003232,14.753777684945357,2255.5588146513683,205.90043023970497,11.370620774431474,0.9048442906574394,8155.068718091049,2341.215709547968,0.1382913337430854,4.625337264175515,4.415879695029412,5.274070779473495,Swindon,880,403,0.4579545454545454,474,0,0.0,1.0,377,377,0.0,1.0,98,0.2067510548523206,75,0.1989389920424403
E01015479,E02003228,15.175216106792922,2275.143242990654,100.96930533117931,8.844911147011304,0.912,2503.665986919056,893.064534229736,0.7269789983844911,3.235943102565111,-22.12566431808,4.859223083459394,Swindon,1289,456,0.3537626066718386,831,25,0.0300842358604091,0.9699157641395908,1703,1678,0.0146799765120375,0.9853200234879624,206,0.2478941034897713,319,0.1873165002935995
E01015480,E02003226,14.531360109457898,905.2756911504424,141.8084751418085,-5.138471805138474,0.9058956916099772,12058.111604135436,-728.6788512458631,0.06006006,-1.4918143950402023,9.711791915393624,2.6520440643124705,Swindon,1840,244,0.1326086956521739,1592,7,0.0043969849246231,0.9956030150753769,108,101,0.0648148148148148,0.9351851851851852,318,0.1997487437185929,15,0.1388888888888889
E01015481,E02003224,13.226807918525536,488.1670306068601,97.36540664375715,7.101947312943873,0.8494809688581314,2841.115582839234,691.4839880873186,0.0859106529209622,1.8938526167850325,13.21572976510556,2.8244100022184053,Swindon,941,392,0.4165781083953241,548,5,0.0091240875912408,0.9908759124087592,119,114,0.042016806722689,0.957983193277311,135,0.2463503649635036,15,0.1260504201680672
E01015482,E02003224,11.096896852541963,83.60600705956908,133.75295043273013,2.911093627065304,0.8494809688581314,253.0069366687995,389.36736160590215,0.016522423288749,0.7762916338840808,15.207011303397875,4.36655760376995,Swindon,608,280,0.4605263157894737,326,8,0.0245398773006134,0.9754601226993864,502,494,0.0159362549800796,0.9840637450199204,67,0.205521472392638,148,0.2948207171314741
E01015483,E02003224,11.982625538147484,204.01841632653063,124.35991221653256,-0.658376005852233,0.8494809688581314,3718.5079027022607,-81.87558229325502,0.0274323335,-0.1755669348939287,14.852631883077658,2.110213200346589,Swindon,583,264,0.4528301886792453,319,0,0.0,1.0,2,2,0.0,1.0,70,0.219435736677116,0,0.0
E01015484,E02003224,12.74035301594897,406.24165571428574,116.27906976744188,-1.6415868673050618,0.8494809688581314,5939.166158947599,-190.88219387268165,0.068399453,-0.4377564979480163,-10.0550634467128,4.36655760376995,Swindon,665,302,0.4541353383458646,361,1,0.002770083102493,0.997229916897507,99,98,0.0101010101010101,0.98989898989899,83,0.2299168975069252,21,0.2121212121212121
E01015485,E02003224,13.590347208294045,711.5836737994453,128.8855193328279,8.112206218347236,0.8494809688581314,3133.519388429997,1045.545911386679,0.0151630022744503,2.1632549915592625,7.987196902711418,2.4238288002794097,Swindon,811,370,0.4562268803945746,439,0,0.0,1.0,1,1,0.0,1.0,106,0.2414578587699316,0,0.0
E01015486,E02003224,11.843523360672156,164.90403210900473,115.64625850340136,2.448979592585033,0.8494809688581314,2424.053634293054,283.2153270336433,0.068027211,0.653061224689342,7.988748245836427,2.567714760975316,Swindon,653,275,0.4211332312404288,374,9,0.0240641711229946,0.9759358288770054,104,95,0.0865384615384615,0.9134615384615384,90,0.2406417112299465,12,0.1153846153846153
E01015487,E02003234,11.148958219140242,75.2060558116883,163.55140186915887,3.271028037383175,0.9072,1609.375152454367,534.9812210673417,0.0186915888,1.1812045690550357,8.091724926014361,2.184589534756338,Swindon,759,313,0.4123847167325428,445,0,0.0,1.0,9,9,0.0,1.0,117,0.2629213483146067,0,0.0
E01015488,E02003234,12.66248119625156,349.58805481727575,163.77005347593584,-3.1417112299465195,0.9072,222.5461264160168,-514.5182161342897,0.5385790679908325,-1.1345068330362431,-2.5568947682208,4.070034793004519,Swindon,641,252,0.3931357254290171,389,27,0.0694087403598971,0.9305912596401028,1521,1494,0.0177514792899408,0.9822485207100592,97,0.2493573264781491,217,0.1426692965154503
E01015489,E02003234,12.66780806842022,379.6221076555024,168.6166551961459,9.359944941500348,0.9072,2206.350866382544,1578.242608855874,0.258086717136958,3.379980117764014,-3.4095856290048,2.802632843588158,Swindon,670,281,0.4194029850746268,388,10,0.0257731958762886,0.9742268041237112,202,192,0.0495049504950495,0.9504950495049505,94,0.2422680412371134,34,0.1683168316831683
E01015490,E02003234,13.590347208294045,711.5836737994453,196.31410256410257,7.371794871794876,0.9072,3133.519388429997,1447.1872945430646,0.0450721153846153,2.6620370370370385,7.987196902711418,1.812542008410584,Swindon,635,269,0.4236220472440944,362,0,0.0,1.0,7,7,0.0,1.0,98,0.2707182320441988,2,0.2857142857142857
E01015491,E02003234,14.561379968172329,2382.228918644068,176.51296829971182,-4.106628242074928,0.9072,1537.921676484967,-724.873140712073,0.3540551667352819,-1.482949087415946,-7.2417638378736,5.167570664499794,Swindon,611,230,0.3764320785597381,381,23,0.0603674540682414,0.9396325459317584,1390,1367,0.016546762589928,0.983453237410072,79,0.2073490813648294,296,0.2129496402877697
E01015492,E02003234,14.772218549920751,2915.0189070548718,180.1470588235294,-3.0882352941176485,0.9072,3523.929707600198,-556.3365051903116,0.2068014705882352,-1.115196078431373,7.2755397092970995,4.416379751045544,Swindon,654,238,0.363914373088685,415,5,0.0120481927710843,0.9879518072289156,671,666,0.007451564828614,0.992548435171386,98,0.236144578313253,134,0.1997019374068554
