LSOA21CD,MSOA21CD,log_voa_2023,rv_growth_pct,business_diversity,share_micro_small,voa_asset_per_worker,log_enterprise_density,diverse_asset_per_worker,high_skill_ratio,creative_asset,ft_share,log_GVA_2025_predicted
E01015471,E02006849,11.833714368540948,9.103386853652644,0.8961111111111111,0.9655172413793104,1701.4871777777778,1.7347759911251985,1524.721565419753,0.4028966364911603,7.396071480338091,0.37499999999999994,2.699
E01015473,E02003219,16.268274056597637,2.9818794139868965,0.9216639313218028,0.9606741573033708,1133.588370890645,1.9264025006709966,1044.7875144157497,0.3920539666154311,8.931601442837918,0.21951219512195122,6.241
E01015475,E02003226,14.70764454868331,13.140404833780549,0.9058956916099772,0.9647058823529411,1393.6783232438606,1.7631366195772553,1262.5271885168304,0.2244094456711071,4.981621544004138,0.14285714285714282,4.786
E01015477,E02003226,13.53689131440145,15.772389800292546,0.9058956916099772,0.9647058823529411,3015.247073705179,1.8163897407615677,2731.499333209113,0.28027949916905587,4.585076093418499,0.5,2.796
E01015478,E02003232,14.753777684945355,4.880264749,0.9048442906574394,0.9701492540597015,5666.403851441242,1.8254742881451103,5127.2131735359335,0.35600706202099397,8.002048913868666,0.3333333333333333,4.281
E01015479,E02003228,15.175216106792922,-24.26059684,0.912,0.9400000000000001,1730.3621643713905,1.6916391470589476,1578.0902939067082,0.31268263720513023,7.032417226143144,0.4444444444444445,4.792
E01015480,E02003226,14.531360109457898,10.720651400972688,0.9058956916099772,0.9647058823529411,9052.756911504424,1.7314045078980635,8200.853483324301,0.1952191209160172,4.92191229842024,0.4444444444444445,2.466
E01015481,E02003224,13.226807918525536,15.557417116560112,0.8494809688581314,0.9999999998823528,1844.0063581395348,1.6983422756499829,1566.4483076929264,0.31426055862412916,4.849829570126029,0.3333333333333333,2.698
E01015482,E02003224,11.096896852541963,17.90153265450911,0.8494809688581314,0.9999999998823528,156.68679232779098,1.7542771933770736,133.10244815388472,0.29314720339352673,4.068862179265386,0.047619047619047616,5.314
E01015483,E02003224,11.982625538147483,17.484360954009954,0.8494809688581314,0.9999999998823528,2104.6110315789474,1.7417090501946482,1787.8270181751957,0.3090676829821772,4.39362936398741,0.3333333333333333,1.84
